Subject,Topic,Level,Accuracy,Time,New_Subject,New_Topic,New_Level
DBMS,Indexing,easy,73.28,346,DBMS,Normalization,easy
DBMS,Indexing,hard,54.81,165,DBMS,File Organization,hard
DSA,Searching & Sorting,medium,82.44,568,DSA,Linked List,medium
Operating System,Deadlocks,hard,34.7,397,Operating System,Deadlocks,easy
CN,Transport Layer Protocols,hard,76.07,230,CN,Switching Techniques,hard
DSA,Graphs,hard,46.04,191,DSA,Graphs,easy
CN,Transport Layer Protocols,hard,57.38,323,CN,Data Link Layer Protocols,hard
DBMS,Relational Model,medium,39.14,383,DBMS,Relational Model,easy
DBMS,Normalization,hard,89.12,195,DBMS,Indexing,hard
CN,Network Security,hard,38.29,240,CN,Network Security,easy
CN,Switching Techniques,easy,52.98,563,CN,IP Addressing & Subnetting,easy
DBMS,Transactions & Concurrency Control,hard,36.95,390,DBMS,Transactions & Concurrency Control,easy
Operating System,Paging & Segmentation,easy,68.73,185,Operating System,Synchronization,easy
DBMS,Joins,hard,54.3,444,DBMS,File Organization,hard
Operating System,Disk Scheduling,medium,59.72,346,Operating System,Banker's Algorithm,medium
CN,IP Addressing & Subnetting,hard,84.44,324,CN,Data Link Layer Protocols,hard
CN,IP Addressing & Subnetting,easy,86.4,141,CN,TCP/IP Model,hard
DBMS,Indexing,hard,81.95,217,DBMS,Indexing,hard
CN,Routing Algorithms,easy,58.11,558,CN,Transport Layer Protocols,easy
DSA,Dynamic Programming,medium,99.28,145,DSA,Searching & Sorting,hard
DSA,Stacks & Queues,easy,95.09,268,DSA,Searching & Sorting,hard
CN,IP Addressing & Subnetting,easy,38.27,142,CN,IP Addressing & Subnetting,easy
CN,Routing Algorithms,hard,63.55,182,CN,Switching Techniques,hard
CN,Transport Layer Protocols,easy,47.11,138,CN,Transport Layer Protocols,easy
Operating System,Process Management,medium,63.15,481,Operating System,Process Management,medium
DSA,Graphs,hard,60.16,126,DSA,Recursion & Backtracking,hard
DBMS,Joins,hard,57.3,261,DBMS,Relational Model,hard
Operating System,Memory Management,hard,68.37,491,Operating System,Paging & Segmentation,hard
